ID,Tipo,ID_Requisito,Nombre,Fuente,MoSCoW,ID_CU,Clase_UML,Proceso_DFD,Estado,Criterio_BDD,ID_CP,Historia,Estado_de_la_traza,Nota
1,RF,RF-01,Recopilacion de datos ambientales,EV-01,Must,CU-01;CU-03,SensorIoT;LecturaSensor,P-1,N/A (entidad sin ciclo de vida modelado),CA-01,CP-01,HU-01,Completa,
2,RF,RF-02,Control remoto de dispositivos,EV-01,Must,CU-02,GatewayIoT;Equipo,P-2,N/A (entidad sin ciclo de vida modelado),CA-02,CP-02,HU-02,Completa,
3,RF,RF-03,Deteccion automatica de ocupacion,EV-01,Must,CU-03,SensorIoT;Aula,P-1,N/A (entidad sin ciclo de vida modelado),CA-03,CP-03,HU-03,Completa,
4,RF,RF-04,Monitoreo y control de proyectores,EV-01;EV-02;EV-03,Must,CU-01;CU-02,Proyector,P-2,N/A (entidad sin ciclo de vida modelado),CA-04,CP-04,HU-04,Completa,
5,RF,RF-05,Monitoreo y ajuste de climatizacion,EV-01;EV-03,Must,CU-01;CU-02,Climatizador,P-2,N/A (entidad sin ciclo de vida modelado),CA-05,CP-05,HU-05,Completa,
6,RF,RF-06,Integracion con videovigilancia,EV-01,Should,CU-15,CamaraVigilancia,P-2,N/A (entidad sin ciclo de vida modelado),N/A (RF Should),CP-06,N/A (RF Should),Completa,La guia solo exige historia y criterio BDD para los RF Must
7,RF,RF-07,Panel de control centralizado,EV-01;EV-02;EV-03,Must,CU-01,Aula,P-1;P-6,N/A (entidad sin ciclo de vida modelado),CA-06,CP-07,HU-06,Completa,
8,RF,RF-08,Generacion y envio de alertas,EV-01;EV-03,Must,CU-04;CU-05,Alerta,P-3,Alerta: Generada -> Notificada,CA-07,CP-08,HU-07,Completa,
9,RF,RF-09,Analisis predictivo de fallos mediante IA,EV-02,Should,CU-16,Equipo,P-5,N/A (entidad sin ciclo de vida modelado),N/A (RF Should),CP-09,N/A (RF Should),Completa,Refinado por RF-IA-01 a RF-IA-03 (ficha IA-01)
10,RF,RF-10,Registro historico de fallas,EV-01,Must,CU-08,SolicitudMantenimiento,P-5,Solicitud: historial de estados,CA-08,CP-10,HU-08,Completa,
