Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,4,4,3,3,5
Item-02,5,3,5,5,4
Item-03,4,2,4,5,3
Item-04,4,4,5,3,5
Item-05,5,4,2,4,4
Item-06,4,3,5,5,4
Item-07,5,5,5,5,5
Item-08,4,4,3,4,5
Item-09,5,4,3,4,5
Item-10,4,5,5,5,4
Item-11,5,4,3,5,4
Item-12,4,1,4,3,4
Item-13,4,4,4,3,5
Item-14,4,3,1,4,4
Item-15,4,4,5,5,4
Item-16,4,5,3,5,5
Item-17,4,3,3,5,4
Item-18,4,5,4,5,4
Item-19,5,4,2,5,4
Item-20,4,5,5,4,4
Item-21,5,3,5,4,5
Item-22,4,2,1,4,5
Item-23,3,5,3,5,4
Item-24,3,4,5,5,4
Item-25,4,3,3,5,3
Item-26,5,3,5,4,5
Item-27,2,2,3,3,3
Item-28,2,3,5,5,5
Item-29,5,3,4,4,3
Item-30,5,5,4,5,3
Item-31,4,5,4,5,5
Item-32,5,2,5,5,5
Item-33,3,4,5,5,5
Item-34,2,3,3,3,3
Item-35,4,5,3,5,5
Item-36,5,5,2,4,5
Item-37,3,4,3,5,4
Item-38,3,3,1,3,5
Item-39,4,4,5,4,4
Item-40,2,4,4,5,3
Item-41,4,5,5,5,5
Item-42,3,4,5,4,5
Item-43,2,5,4,4,3
Item-44,4,4,4,5,3
Item-45,4,1,3,4,4
Item-46,4,5,2,5,4
Item-47,4,4,3,5,4
Item-48,5,4,5,4,5
Item-49,5,5,4,4,5
Item-50,4,3,4,5,5
Item-51,3,5,4,5,4
