ID,Tipo,Severidad,Descripcion,Requisitos_afectados,Instancias,Cuenta_para_M6,Ubicacion_evidencia,Accion_tomada,Estado
D-01,Contradiccion,Critica,"Prioridad MoSCoW distinta para RF-20/24/25 entre el documento (Should) y priorizacion_moscow_kano.csv (Must)",RF-20;RF-24;RF-25,3,Si,"secciones_generadas.tex Tabla 42 y seccion 5.2 vs 04_Trazabilidad/priorizacion_moscow_kano.csv","Resuelto a favor del documento: los tres quedan Should. Priorizacion consolidada en un unico archivo (17 Must / 8 Should) y eliminado el duplicado _corregido.csv",Resuelto
D-02,Atributo faltante,Alta,"RNF sin prioridad MoSCoW declarada en ningun lugar del documento",NFR-04 a NFR-09;NFR-11 a NFR-16,12,Si,"secciones_generadas.tex Tabla 42, que solo listaba NFR-01/02/03/10","Se declara la prioridad de los 13 RNF pendientes (los 12 mas RNF-17) en la Tabla 42, cada una con justificacion escrita. Reparto: 7 Must, 5 Should, 1 Could",Resuelto
D-03,Limitacion de elicitacion,Media,"Solo 2 de los 9 actores formales aparecen como Actor/Origen de algun RF: Personal de Infraestructura (16 RF) y Docente (9 RF)",N/A (nivel actor),7,No,"secciones_generadas.tex campo Actor / Origen de las 25 fichas RF","Reclasificado de defecto a limitacion declarada. No afecta M1c bajo la definicion de cobertura adoptada: los 9 actores participan en al menos un CU y por tanto en al menos un RF. La concentracion de fuentes es real y se declara como limitacion de validez externa, pero no es subsanable en esta unidad: la poblacion disponible para entrevistar en la Facultad es reducida y el docente responsable autorizo expresamente cerrar la recoleccion en 11 entrevistas",Declarado como limitacion
D-04,Vacio normativo,Alta,"Ninguna caracteristica Safety (ISO/IEC 25010:2023) pese a que RF-13/RF-16 ejecutan apagado automatico fisico de climatizacion",RF-13;RF-16,1,No,"secciones_generadas.tex Tabla 39, sin caracteristica Safety","Redactado RNF-17 y fusionado en la Tabla 39 del ERS, numerado 17 para no colisionar con NFR-16. Trazado a CP-S01 y priorizado Must en la Tabla 42",Resuelto
D-05,Artefacto faltante,Critica,"Cero casos de prueba conceptual (CP) en todo el documento y en la matriz de trazabilidad",RF-01 a RF-25,25,No,"matriz_trazabilidad.csv sin columna CP; secciones_generadas.tex sin seccion de CP","Redactados 32 casos de prueba conceptuales en 04_Trazabilidad/casos_prueba_conceptuales.csv, derivados del criterio de verificacion real de cada requisito",Resuelto
D-06,Artefacto faltante,Media,"RF con prioridad Must (segun el CSV desalineado) sin historia de usuario ni escenario Gherkin",RF-20;RF-24;RF-25,3,Si,"secciones_generadas.tex seccion 3.6","Disuelto al cerrar D-01: los tres son Should y la guia solo exige historia y criterio BDD para los Must. Verificado por script: los 17 Must tienen HU",Resuelto
D-07,Artefacto faltante,Media,"No existia CU para los derechos LOPDP; RF-24 y RF-25 colgaban de CU-11 (gestion de acceso), que es otro proposito",RF-24;RF-25,1,No,"secciones_generadas.tex seccion 4.2, 16 CU y ninguno de derechos de datos","Creado CU-17 Ejercer derechos sobre datos personales y fusionado en la seccion 4.2 del ERS, con el mismo formato de los 16 CU previos",Resuelto
D-08,Artefacto faltante,Critica,"No existia Diagrama de Flujo de Datos en ningun lugar del repositorio",Todos los RF con proceso operativo,1,No,"Busqueda en todo el repositorio: sin resultados","Construido el DFD nivel 1 (8 procesos, 6 almacenes, 6 entidades externas) y fusionado como seccion 4.11 del ERS",Resuelto
D-09,Artefacto faltante,Alta,"La matriz de trazabilidad no tenia ninguna fila para los RNF; solo trazaba RF y RD",NFR-01 a NFR-16,16,Si,"04_Trazabilidad/matriz_trazabilidad.csv, columna Tipo con solo valores RF y RD","La matriz PE5 incorpora los 17 RNF con fila propia mas los 6 RF de IA (48 filas)",Resuelto
D-10,Ambiguedad,Media,"La clausula Cuando de los 17 escenarios Gherkin era el marcador de plantilla 'cuando se cumple la condicion operativa de RF-XX', que no es un evento observable y no permite derivar un caso de prueba",Los 17 RF Must,17,Si,"secciones_generadas.tex seccion 3.6, las 17 historias","Reescritos los 17 escenarios: cada Cuando nombra ahora el evento concreto que dispara el escenario y cada Entonces conserva el umbral medible del criterio de verificacion",Resuelto
D-11,Artefacto faltante,Alta,"El ERS referenciaba una imagen del diagrama de estados ausente de 01_ERS/figuras/, lo que rompia la compilacion del informe",Sec. 4.6,1,No,"secciones_generadas.tex, includegraphics de state_maintenance_request.png","El archivo existia en 03_Modelado/Diagramas_UML/06_State/stat_maintenance/; se copio a 01_ERS/figuras/",Resuelto
D-12,Contradiccion,Alta,"Las secciones 6.1 y 6.4 declaran conjuntos distintos de RF para la cobertura del MVP, no solo cifras distintas: solo 7 de los RF coinciden",RF-02;RF-04;RF-05;RF-11;RF-15;RF-16;RF-19;RF-22;RF-23,1,Si,"secciones_generadas.tex secciones 6.1 y 6.4","La seccion 6.1 se reescribe declarando explicitamente el alcance planificado, la desviacion y su causa (cinco RF pospuestos por depender de hardware no disponible, cuatro sustituidos por otros demostrables con el simulador), y se fija la cifra de 6.4 (11/17, 64,7 %) como cobertura real verificada contra codigo",Resuelto
