ID_CP,Requisito,Precondicion,Accion,Resultado_esperado,Origen_del_criterio
CP-01,RF-01,"Sensor configurado y conectado a la red del aula","Inyectar una lectura simulada de temperatura y humedad","El dato es visible en el panel en <=10 s, con margen de error <=1 C y <=5 % de humedad","ERS 3.2 RF-01, criterio de verificacion"
CP-02,RF-02,"Usuario autenticado con rol autorizado y dispositivo en linea","Enviar un comando ON/OFF a un dispositivo del aula","El comando se ejecuta en <=5 s y queda registrado en bitacora","ERS 3.2 RF-02, criterio de verificacion"
CP-03,RF-03,"Sensor de presencia instalado y calibrado","Simular entradas y salidas de personas en el aula","El estado Ocupada/Vacia se actualiza con exactitud >=95 % y latencia <=15 s","ERS 3.2 RF-03, criterio de verificacion"
CP-04,RF-04,"Proyector conectado al modulo de control IoT","Cambiar el estado del proyector desde el modulo de control","El nuevo estado se refleja en el panel en <=10 s","ERS 3.2 RF-04, criterio de verificacion"
CP-05,RF-05,"Equipo de climatizacion conectado a controlador compatible","Enviar un ajuste remoto de temperatura objetivo","El ajuste se refleja en el equipo o controlador en <=15 s","ERS 3.2 RF-05, criterio de verificacion"
CP-06,RF-06,"Camara operativa, autorizada y accesible en la red institucional","Solicitar la vista complementaria de una camara desde el panel","El sistema visualiza el flujo de prueba con latencia <=3 s, sin reemplazar el sistema existente","ERS 3.2 RF-06, criterio de verificacion"
CP-07,RF-07,"Usuario autenticado con permisos de visualizacion y al menos un aula de prueba","Abrir el panel de control y esperar sin recargar la pagina","El panel actualiza los datos automaticamente cada <=30 s","ERS 3.2 RF-07, criterio de verificacion"
CP-08,RF-08,"Reglas de anomalia y destinatarios configurados","Simular una falla que exceda un umbral configurado","Se genera una alerta y se entrega al responsable en <=1 minuto, visible en la vista de alertas","ERS 3.2 RF-08, criterio de verificacion"
CP-09,RF-09,"Al menos 30 dias de datos historicos por equipo y conjunto de prueba con fallas conocidas","Ejecutar el analisis predictivo sobre el conjunto de prueba","El modelo identifica correctamente >=70 % de los casos de falla conocidos","ERS 3.2 RF-09, criterio de verificacion"
CP-10,RF-10,"Incidente generado por RF-08 o reportado via RF-12 y ya cerrado","Consultar el historial de fallas y mantenimientos","Todo incidente cerrado es consultable con los 5 campos minimos: fecha, hora, tipo, equipo y responsable","ERS 3.2 RF-10, criterio de verificacion"
CP-11,RF-11,"Horario academico cargado y clase programada en curso","Simular una falla critica durante el horario activo","La notificacion al personal tecnico se genera en <=30 s y queda marcada como pendiente","ERS 3.2 RF-11, criterio de verificacion"
CP-12,RF-12,"Usuario autenticado con rol docente, administrativo o tecnico","Crear un ticket de prueba, consultarlo y cambiar su estado","El ticket es trazable desde su creacion hasta su cierre y el cambio de estado es visible para los roles autorizados","ERS 3.2 RF-12, criterio de verificacion"
CP-13,RF-13,"Horario cargado y regla de apagado activa para el aula","Simular un aula desocupada fuera de horario","El apagado automatico se activa en <=2 minutos y el evento queda registrado para auditoria","ERS 3.2 RF-13, criterio de verificacion"
CP-14,RF-14,"Datos de consumo acumulados de al menos un mes para 2 aulas con patrones distintos","Ejecutar el analisis de patrones de consumo","El sistema genera recomendaciones diferenciadas y coherentes para cada aula","ERS 3.2 RF-14, criterio de verificacion"
CP-15,RF-15,"Horario academico cargado, vigente y asociado a las aulas","Programar una regla de encendido/apagado y esperar su hora de ejecucion","La regla se ejecuta con tolerancia menor o igual a un minuto respecto al horario definido","ERS 3.2 RF-15, criterio de verificacion"
CP-16,RF-16,"Sensor confirma aula desocupada y horario academico finalizado","Simular un aula vacia posterior al horario","Todos los equipos compatibles se apagan en <=2 minutos y el evento queda auditado","ERS 3.2 RF-16, criterio de verificacion"
CP-17,RF-17,"Datos historicos almacenados de ocupacion, sensores, consumo o fallas","Generar un reporte para un rango de fechas valido","El reporte se genera con datos consolidados de al menos 2 aulas","ERS 3.2 RF-17, criterio de verificacion"
