Fragmento,Codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador;
Si hay problema... en el aula 103 que tenemos problema ya que el aire esta dañado, pero ahí tenemos aulas que están desocupadas y otras no,Deteccion_manual_estado_aula,Monitoreo y visibilidad,RF-01;RF-03,EV-01,Sanchez G.
Yo hago los informes y los llevo al [AUTORIDAD DE LA FACULTAD],Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-01,Sanchez G.
Ahorita esta mal, los proyectores si funcionan el problema son los cables, el HDMI ese es el que esta dañado,Falla_recurrente_conexion_HDMI,Control remoto de equipos,RF-04,EV-01,Sanchez G.;
Tengo que irlos a apagar, voy a mirar... de que todo este apagado,Verificacion_manual_apagado_equipos,Control remoto de equipos,RF-13;RF-16,EV-01,Sanchez G.
Cuando desocupan el aula yo apago los aires,Apagado_manual_por_desocupacion,Control remoto de equipos,RF-16,EV-01,Sanchez G.;
Hay dos formas de determinar, uno por los horarios... y lo otro por medio de las cámaras quien normalmente esta monitoreando las aulas,Ocupacion_determinada_por_horario_y_camaras,Monitoreo y visibilidad,RF-03;RF-20,EV-02,Sanchez G.
Ahora las limitaciones que tengo es que yo no tengo acceso la clave de acceso a las cámaras... solo lo tiene el [AUTORIDAD DE LA FACULTAD],Acceso_restringido_a_camaras_por_rol,Gestion de acceso y roles,RF-19,EV-02,Sanchez G.;
Eso no hay, si hablamos de las condiciones ambientales... eso no tenemos,Ausencia_registro_historico_ambiental,Monitoreo y visibilidad,RF-01;RF-20,EV-02,Sanchez G.
Ese tipo de interaccion... es una manera verbal que viene del docente o por el grupo de estudiante,Consulta_disponibilidad_aula_verbal,Gestion de mantenimiento y tickets,RF-Candidato_consulta_disponibilidad,EV-02,Sanchez G.;
Me parece perfecto, si no tenemos esto, ahí nos estaríamos actualizando mas,Aceptacion_panel_centralizado,Adopcion y confianza,RF-07,EV-08,Sanchez G.;
Aquí no tenemos las cámaras. Las cámaras instaladas pero las cámaras están desactualizada no trabajan dentro de las aulas,Cobertura_incompleta_camaras_existentes,Monitoreo y visibilidad,RD-05,EV-08,Sanchez G.;
