Item_ciego,Completitud(1-5),Ausencia_ambiguedad(1-5),Verificabilidad(1-5),Correccion_fuente(1-5),Consistencia_interna(1-5)
Item-01,3,3,3,3,4
Item-02,4,4,4,5,4
Item-03,2,2,3,3,3
Item-04,4,4,3,4,4
Item-05,5,2,1,3,4
Item-06,2,3,5,5,5
Item-07,4,5,5,4,5
Item-08,5,3,4,5,5
Item-09,5,4,3,4,4
Item-10,4,4,4,4,3
Item-11,5,3,2,4,4
Item-12,2,1,3,3,2
Item-13,3,5,5,3,4
Item-14,4,2,2,5,3
Item-15,2,4,4,5,3
Item-16,4,4,3,4,4
Item-17,4,3,2,5,4
Item-18,5,5,5,4,5
Item-19,5,3,4,5,4
Item-20,5,4,5,4,3
Item-21,5,4,5,5,5
Item-22,4,3,2,4,4
Item-23,4,5,4,4,4
Item-24,4,3,5,5,5
Item-25,5,3,5,5,4
Item-26,5,3,4,4,5
Item-27,3,2,4,4,3
Item-28,4,2,5,5,5
Item-29,5,2,3,4,3
Item-30,5,4,4,4,4
Item-31,5,4,4,4,5
Item-32,5,3,4,5,4
Item-33,3,3,3,5,5
Item-34,2,3,3,3,3
Item-35,5,5,4,5,5
Item-36,5,4,3,5,4
Item-37,2,4,2,4,4
Item-38,4,3,3,4,3
Item-39,5,5,5,4,5
Item-40,2,5,5,3,5
Item-41,5,5,5,5,5
Item-42,5,4,5,4,5
Item-43,2,5,5,5,4
Item-44,5,5,5,5,5
Item-45,3,2,4,4,3
Item-46,4,5,2,5,4
Item-47,5,4,2,4,5
Item-48,5,3,5,3,5
Item-49,5,4,4,5,5
Item-50,4,4,5,5,5
Item-51,3,4,4,3,3
